,Image name,phi(DL),phi(non-DL),psi(DL),psi(non-DL),quality(DL),quality(non-DL)
0,15_10_s.jpg,0.38516839731121266,0.39008258639452015,0.4076397931377024,0.10037509112530174,0.1570099658031231,0.039154575155743346
1,15_11_s.jpg,0.42495989194452916,0.42708018892839716,0.6697497077961726,0.28504273504273503,0.28461676345494147,0.12173610513471833
2,15_12_s.jpg,0.42086196762127515,0.3889684687308048,0.7563468014383871,0.25448845511269647,0.31831760305741746,0.0989879846948537
3,15_13_s.jpg,0.4037454074582,0.46138474147735925,0.47793387157709155,0.41030763084298844,0.19296360571796786,0.18930968018267996
4,15_14_s.jpg,0.38098194331685215,0.4568034748930041,0.20180503409763,0.4477863097425582,0.07688407406163869,0.20455034229991564
5,15_15_s.jpg,0.40532675415921676,0.4213891651143557,0.30531620307666807,0.9046445012787724,0.12375282558528214,0.3812073911191546
6,15_16_s.jpg,0.3859439629832438,0.38865008214254015,0.4339485285356845,0.4078976954965032,0.16747981483380933,0.15852947286046878
7,15_17_s.jpg,0.38067968353296017,0.3883533246048846,0.1970048514371802,0.1976003713495146,0.07499574449956359,0.07673876115674379
8,15_18_s.jpg,0.3873506859802455,0.42495694547200946,0.24673933350917185,0.32605684311188615,0.0955746500930863,0.13856012009907334
9,15_1_s.jpg,0.3953938817596459,0.378919854743383,0.5126308690701248,0.20306244293039263,0.20269110923145744,0.07694439137902088
10,15_20_s.jpg,0.376741651208123,0.4133325864145936,0.2441067858866163,0.2810407790626902,0.09196519358603156,0.11616331209795411
11,15_21_s.jpg,0.3835382115911978,0.5013246590320589,0.3903905665047893,0.3610224035798417,0.14972969969932146,0.1809894333775985
12,15_22_s.jpg,0.37968937834558075,0.4073041398809582,0.27111920833369213,0.1954507450378532,0.10294108366976557,0.07960789759673526
13,15_23_s.jpg,0.3865758612765852,0.3839203187676686,0.39626349186311166,0.2432283670578014,0.1531859006594495,0.09338031221417062
14,15_24_s.jpg,0.38919738052842656,0.44012247020007733,0.5862848252100249,0.6366938616938617,0.2281805182153081,0.2802232751699288
15,15_2_s.jpg,0.3915750106651006,0.7042697658313404,0.2977794434674125,0.715204844356136,0.11660298875159976,0.5036971482561361
16,15_3_s.jpg,0.4056670398798734,0.3883290161883496,0.6788305370313844,0.2618082226782392,0.2753791745375865,0.101667729542661
17,15_4_s.jpg,0.38596651497574824,0.4629474473419414,0.6074926390825972,0.23734511450578324,0.23447181678013007,0.10987831489953313
18,15_5_s.jpg,0.39204390347221113,0.4647131817616998,0.41869935664178265,0.3804497764710621,0.16414853015914793,0.17680002612439474
19,15_6_s.jpg,0.4460047411994424,0.44100684113503524,0.7981497890574373,0.6337451292950761,0.3559785901069518,0.279485937555136
20,15_7_s.jpg,0.4010557692008679,0.468218068773234,0.7706000510812518,0.5644008740329534,0.3090535962326195,0.2642626872536347
21,15_8_s.jpg,0.4020805737286944,0.46459188488330516,0.5207102264695072,0.3775219029359966,0.20936746660525782,0.17539361246976684
22,15_9_s.jpg,0.4099593104424477,0.41907310041843604,0.6643282773564464,0.40664906829273045,0.2723475624924679,0.17041568583170288
23,16_10_s.jpg,0.40623195108561705,0.43529343372186124,0.6766296635632801,0.18480822290904353,0.27486858839171596,0.0804458059301127
24,16_11_s.jpg,0.3953195321347844,0.4208603836057257,0.25179587648101504,0.1635490217746125,0.09953982808394282,0.0688313040424046
25,16_12_s.jpg,0.3888008499976177,0.4118898441997285,0.3133490741379443,0.19694673760776757,0.12183038637079927,0.0811203610689082
26,16_13_s.jpg,0.41670236024547325,0.37366733538162594,0.818391673869202,0.39446762627360693,0.3410257421065401,0.14739966680397376
27,16_14_s.jpg,0.4271272043469522,0.38680467105554045,0.5745099805343301,0.319336866822423,0.24538884185505036,0.12352099172715426
28,16_15_s.jpg,0.4073060681290184,0.4091186359647065,0.7695103526444758,0.4494620269773789,0.3134262361201958,0.18388329139491738
29,16_16_s.jpg,0.4195598255368363,0.402199539870756,0.7125645939837917,0.3934000202490635,0.2989634767355662,0.15822530712931945
30,16_17_s.jpg,0.40135966707395143,0.39859127432445113,0.40069279348087217,0.30290070058610596,0.16082192619041444,0.120733576240385
31,16_18_s.jpg,0.3935393189606873,0.4209888764421519,0.4870280104140491,0.5427461446065318,0.1916646715331234,0.22849008961121353
32,16_19_s.jpg,0.39878265811431973,0.3927646227595162,0.6308789452656811,0.13216131459812602,0.25158358274140674,0.05190828887153471
33,16_1_s.jpg,0.42528064215817424,0.41795075768382134,0.6757640137277333,0.36375119539864537,0.2873893537055157,0.15203008772525958
34,16_20_s.jpg,0.40179192103030426,0.4261369480092036,0.5723106242407302,0.44681527144468625,0.2299497851397356,0.19040449609734245
35,16_21_s.jpg,0.4397335259684078,0.42195261230960013,0.7280067798206172,0.27374020955443745,0.3201289882194263,0.11550539651567224
36,16_23_s.jpg,0.3897476675741612,0.4172972213085594,0.43687997917709864,0.38413744791645577,0.1702729528941223,0.16029948961609844
37,16_24_s.jpg,0.38571197127851325,0.38356761127424494,0.2101480924099866,0.2652141215260222,0.08105663498387511,0.10172754706993364
38,16_25_s.jpg,0.4100961506095369,0.3946777282248747,0.5741437326012758,0.2512155399914464,0.2354541346363745,0.09914917861860922
39,16_28_s.jpg,0.39732743692258626,0.393883953789168,0.55970510708001,0.20185958207538404,0.22238619562858206,0.07950925029808134
40,16_29_s.jpg,0.40600985122611893,0.39748245296887363,0.39514041499863073,0.3172889384229591,0.16043090110702096,0.12611678554424768
41,16_2_s.jpg,0.4061988040704452,0.3880080939748142,0.665208635411632,0.40594211047516743,0.27020695216153773,0.15750882454958318
42,16_30_s.jpg,0.3829854518776187,0.3901217135111078,0.35113282584618893,0.32011654024596803,0.13447876397576786,0.12488441320400455
43,16_3_s.jpg,0.40364655024440116,0.4247736357548465,0.6640213349174467,0.644708093626811,0.26802992112810947,0.2738550009304365
44,16_4_s.jpg,0.4015418718979622,0.3850101374074835,0.34251734150164737,0.43735652974644,0.13753505446408507,0.16838669761373704
45,16_5_s.jpg,0.4132525335730577,0.41492961137853857,0.6694857872333084,0.2988713307925465,0.27666669776531777,0.12401056513793797
46,16_6_s.jpg,0.4025620730776987,0.44810433578996345,0.6387238176334079,0.33398714176746214,0.25712598415060667,0.14966108632409697
47,16_7_s.jpg,0.4244795101345367,0.4023869455839592,0.6459585715446519,0.41760331908653586,0.2741961780164789,0.16803812403295465
48,16_8_s.jpg,0.40787694555228654,0.40034863693642564,0.7394507652444169,0.2376512961892481,0.30160491951419366,0.09514337249554024
49,16_9_s.jpg,0.40235874721938836,0.39536430897296354,0.4471198554063936,0.1627111647263556,0.1799025848782306,0.06433018720422162
